Posted On,Headline,Content,Link,Image Link
"Updated: 23 जनवरी, 2024 1:08 PM","JEE Mains 2024: जेईई मेन परीक्षा 48 घंटे बाद, सभी छात्रों के लिए जरूरी निर्देश जारी, नहीं मानने वाले हो जाएंगे बाहर",JEE Mains 2024: जेईई मेन 2024 सत्र 1 की परीक्षा कल से शुरू होने जा रही है. छात्रों को एग्जाम सिटी में पहुंचना शुरू हो गया है. आईआईटी जेईई की इस परीक्षा में भाग लेने वाले सभी छात्रों के लिए जरूरी निर्देश जारी किए गए हैं.,https://ndtv.in/career/jee-main-2024-only-48-hours-left-for-exam-important-instructions-for-all-the-candidates-if-not-followed-then-out-of-the-exam-4915551,https://c.ndtvimg.com/2020-04/saemi0o_jee-exam_120x90_21_April_20.jpg
"Updated: 23 जनवरी, 2024 1:07 PM","कनाडा इंटरनेशनल स्टूडेंट परमिट पर एक तिहाई कटौती, भारतीय छात्रों पर पड़ेगा असर","कनाडा के एमिग्रेशन मिनिस्टर ने कहा, ""कनाडा में अंतरराष्ट्रीय छात्रों का स्वागत करना अनुचित होगा, यह जानते हुए कि उनमें से सभी को सफल होने के लिए आवश्यक संसाधन नहीं मिल रहे हैं और वे कनाडा की शिक्षा प्रणाली से निराश होकर घर लौट रहे हैं.''",https://ndtv.in/career/canada-will-reduce-the-international-student-permit-by-one-third-canada-immigration-minister-marc-miller-told-4914956,https://c.ndtvimg.com/2024-01/n2to6ek_canada-reuters_625x300_22_January_24.jpeg
"Updated: 23 जनवरी, 2024 12:18 PM","JEE Main 2024: जेईई मेन 2024 सत्र 1 की परीक्षा कल से शुरू, एडमिट कार्ड जारी, दूसरी पाली में परीक्षा",JEE Main 2024 Exam: जेईई मेन का पहला सत्र कल से शुरू हो रहा है. एनटीए ने जेईई मेन 2024 सत्र 1 की परीक्षा के लिए एडमिट कार्ड जारी कर दिया है. हर साल होने वाली इस परीक्षा में लाखों बच्चे भाग लेते हैं.,https://ndtv.in/career/jee-main-2024-session-1-exam-starts-from-24-january-admit-card-released-exam-in-second-shift-4915259,https://c.ndtvimg.com/2021-01/qb6ie6d_jee-exam_625x300_30_January_21.jpg
"Updated: 23 जनवरी, 2024 9:33 AM","CBSE Board Exam 2024: सीबीएसई ने स्पेशल नीड वाले स्टूडेंट के लिए खोला पोर्टल, स्कूलों को ऐसे छात्रों की डिटेल्स 24 जनवरी तक भरनी होगी",CBSE Board Exam 2024: केंद्रीय माध्यमिक शिक्षा बोर्ड (CBSE) ने 2024 की बोर्ड परीक्षाओं में सुविधाओं का लाभ उठाने के लिए स्पेशल नीड वाले बच्चों (CWSN) के लिए ऑनलाइन पोर्टल एक्टिव कर दिया है. ,https://ndtv.in/career/cbse-opened-portal-for-special-needs-students-for-board-exam-2024-schools-will-have-to-fill-the-details-of-such-students-by-this-date-4909870,https://c.ndtvimg.com/2022-06/pla8p_cbse-result-class-12-cbse-result-news-cbse-result-2022-class-12-cbse-result-2022-in-hindi_625x300_26_June_22.jpg
"Updated: 23 जनवरी, 2024 9:33 AM","JEE Main 2024 पेपर 1 बीई/बीटेक के लिए एडमिट कार्ड, ऐसे कर पाएंगे डाउनलोड, डिटेल्स यहां","JEE Main 2024 Admit Card: जेईई मेन का पेपर 2ए (बीआर्क) और पेपर 2बी (बीप्लानिंग) की परीक्षाएं 24 जनवरी को होनी तय हैं, जबकि पेपर 1 (बीई/बीटेक) की परीक्षा 27, 29, 30, 31 जनवरी और 1 फरवरी 2024 को आयोजित की जाएंगी.",https://ndtv.in/career/jee-main-2024-admit-card-for-be-btech-paper-1-to-be-released-check-details-4909059,"https://c.ndtvimg.com/2022-12/10ku2omo_board-exam_625x300_20_December_22.jpg?im=FeatureCrop,algorithm=dnn,width=650,height=400"
"Updated: 22 जनवरी, 2024 5:17 PM","UPSSSC फॉरेस्ट गार्ड पीईटी 2023 के लिए शेड्यूल जारी, शारीरिक परीक्षा 12 फरवरी से, एलिजिबिलिटी जानें",UPSSSC PET 2023 Exams: उत्तर प्रदेश अधीनस्थ सेवा चयन आयोग (UPSSSC) ने फॉरेस्ट गार्ड के लिए फिजिकल एलिजिबिलीट टेस्ट  (PET 2023) के लिए परीक्षा तिथियों की घोषणा कर दी है.,https://ndtv.in/career/upsssc-forest-guard-pet-2023-exam-schedule-released-physical-exam-from-february-12-know-eligibility-4910833,https://c.ndtvimg.com/2024-01/6ofu4o8_competitive-exam_120x90_10_January_24.jpg
"Updated: 22 जनवरी, 2024 1:16 PM","Ram Lalla: इलाहाबाद यूनिवर्सिटी के छात्र बना रहे रामलला की सबसे बड़ी रंगोली, गिनीज रिकॉर्ड की तैयारी","Ram Mandir, Ram Lalla: देश-दुनिया रामलला के रंग में रंगी है, ऐसे में भला इलाहाबाद यूनिवर्सिटी के छात्र कहां पीछे रहते. इलाहाबाद यूनिवर्सिटी के छात्रों के एक समूह ने राममंदिर और रामलला की दुनिया की सबसे बड़ी रंगोली बना रहें.",https://ndtv.in/career/ram-lalla-students-of-allahabad-university-are-making-the-biggest-rangoli-of-ram-lalla-preparing-for-guinness-record-4909431,https://c.ndtvimg.com/2022-09/mt727l8_allahabad-university-_120x90_22_September_22.jpg
"Updated: 22 जनवरी, 2024 12:41 PM","JEE Main 2024: बीआर्क और बी प्लानिंग के लिए जेईई मेन एडमिट कार्ड जारी, 24 जनवरी को है परीक्षा",JEE Main 2024: इस साल भी जेईई मेन 2024 की परीक्षा दो सत्र में होगी. जेईई मेन सत्र 1 की परीक्षा के लिए एडमिट कार्ड जारी कर दिया गया है. उम्मीदवार इसे आधिकारिक वेबसाइट से डाउनलोड कर सकते हैं. ,https://ndtv.in/career/jee-main-2024-admit-card-released-for-b-arch-and-b-planning-exam-is-on-january-24-4908669,https://c.ndtvimg.com/2021-01/m6lnij4o_jee-exam_120x90_23_January_21.jpg
"Updated: 22 जनवरी, 2024 9:51 AM","UGC NET Result 2023: यूजीसी नेट दिसंबर 2023 परीक्षा परिणाम घोषित, सब्जेक्ट वाइज कटऑफ Direct Link","UGC NET Result 2023: नेशनल टेस्टिंग एजेंसी (NTA) ने यूजीसी नेट परीक्षा का रिजल्ट घोषित कर दिया है. जिन उम्मीदवारों ने यूजीसी नेट दिसंबर 2023 की परीक्षा दी है, वे आधिकारिक वेबसाइट  ugcnet.nta.ac.in से अपने रिजल्ट की जांच कर सकते हैं. परीक्षा में 9 लाख से अधिक उम्मीदवारों ने भाग लिया था.",https://ndtv.in/career/ugc-net-december-2023-result-declared-subject-wise-cutoff-direct-link-4890614,https://c.ndtvimg.com/2022-09/hnvmp5lo_jee-advanced-aat-2022-result-declared-at-jeeadvacin_625x300_18_September_22.jpg
"Updated: 19 जनवरी, 2024 5:08 PM","JEE Main 2024: जेईई मेन 2024 सत्र 1 के लिए एडमिट कार्ड कल होगा जारी, ऐसे कर पाएंगे डाउनलोड","JEE Main 2024 Exam: जेईई मेन 2024 परीक्षा के लिए एडमिट कार्ड कल जारी किया जाएगा. जिन उम्मीदवारों ने इंजीनियरिंग की प्रतिष्ठित प्रवेश परीक्षा के लिए आवेदन किया है, वे आधिकारिक वेबसाइट से अपना एडमिट कार्ड डाउनलोड कर सकते हैं.",https://ndtv.in/career/jee-main-2024-session-1-admit-card-will-be-released-tomorrow-20-january-at-jeemain-nta-ac-in-know-how-to-download-4892954,https://c.ndtvimg.com/2021-02/e8a2ncmo_-jee-main_625x300_27_February_21.jpg
