Serial Number,Title,Link,Image_link
11,నథింగ్‌ నుంచి బడ్జెట్ స్మార్ట్‌ ఫోన్‌.. ఫీచర్స్‌ కూడా అదుర్స్‌,https://tv9telugu.com/photo-gallery/technology-photos/nothing-launching-new-smart-phone-nothing-phone-2a-features-and-price-details-1172198.html,https://images.tv9telugu.com/wp-content/themes/tv9telugu/images/watermark-new-small.jpg?ar=16:9
12,లావా నుంచి మరో బడ్జెట్‌ ఫోన్‌ వచ్చేస్తోంది.. తక్కువ ధరలో ఎక్కువ,https://tv9telugu.com/photo-gallery/technology-photos/indian-smart-phone-brand-lava-launching-new-smart-phone-lava-yuva-3-leaked-features-and-price-details-1172183.html,https://images.tv9telugu.com/wp-content/themes/tv9telugu/images/watermark-new-small.jpg?ar=16:9
13,ఏఐలో దూకుడు పెంచిన సామ్‌సంగ్‌.. ఐఐటీ కాన్పూర్‌తో ఒప్పందం.,https://tv9telugu.com/technology/samsung-deal-with-iit-kanpur-to-research-in-artificial-intelligence-and-more-1172172.html,https://images.tv9telugu.com/wp-content/themes/tv9telugu/images/watermark-new-small.jpg?ar=16:9
14,రూ. 15 వేలకే వన్‌ప్లస్‌ స్మార్ట్‌ ఫోన్‌.. ఫీచర్స్‌ మాములుగా లేవు.,https://tv9telugu.com/technology/one-plus-launched-new-budget-5g-smartphone-oneplus-nord-n30-se-5g-features-and-price-details-1171962.html,https://images.tv9telugu.com/wp-content/themes/tv9telugu/images/watermark-new-small.jpg?ar=16:9
15,గట్టిగ ఊదితే చాలు.. మీ ఫోన్ లాక్ తీసేయొచ్చు,https://tv9telugu.com/videos/technology-videos/your-distinctive-breath-fingerprint-could-be-used-to-unlock-phone-video-1171788.html,https://images.tv9telugu.com/wp-content/themes/tv9telugu/images/watermark-new-small.jpg?ar=16:9
16,"మీరు ఎక్కడున్న ఇట్టే చెప్పేసే యాప్స్ ఇవి.. పూర్తి భద్రత, భరోసా..",https://tv9telugu.com/technology/these-are-the-best-location-tracking-apps-check-details-in-telugu-1171609.html,https://images.tv9telugu.com/wp-content/themes/tv9telugu/images/watermark-new-small.jpg?ar=16:9
17,ప్రైవసీకి పెద్దపీట వేస్తూ ఇన్‌స్టాగ్రామ్‌ మరో కొత్త ఫీచర్‌..,https://tv9telugu.com/photo-gallery/technology-photos/instagram-testing-on-new-privacy-feature-flipside-check-here-for-full-details-1171567.html,https://images.tv9telugu.com/wp-content/themes/tv9telugu/images/watermark-new-small.jpg?ar=16:9
18,ఏఐ టెక్నాలజీతో కొత్త ల్యాప్‌టాప్‌.. ఫీచర్స్‌ అదుర్స్‌ అంతే..,https://tv9telugu.com/photo-gallery/technology-photos/acer-update-its-acer-swift-go-14-laptop-with-artificial-intelligence-check-here-for-full-details-1171558.html,https://images.tv9telugu.com/wp-content/themes/tv9telugu/images/watermark-new-small.jpg?ar=16:9
19,మనిషి మెదడులో చిప్‌ అమర్చాం.. ఎక్స్‌ వేదికగా ఎలాన్‌ మస్క్‌ ప్రకటన,https://tv9telugu.com/videos/technology-videos/neuralink-has-implanted-1st-brain-chip-in-human-says-elon-musk-viral-video-1171506.html,https://images.tv9telugu.com/wp-content/themes/tv9telugu/images/watermark-new-small.jpg?ar=16:9
20,ల్యాబ్‌లో చేప మాంసం ఉత్పత్తి.. దేశంలోనే తొలిసారి,https://tv9telugu.com/videos/technology-videos/india-cmfri-developing-lab-based-fish-video-1171502.html,https://images.tv9telugu.com/wp-content/themes/tv9telugu/images/watermark-new-small.jpg?ar=16:9
21,ఎట్టకేలకు వచ్చేసిన టెక్నో స్పార్క్‌ 20.. రూ. 10వేలలో ఊహకందని ఫీచర,https://tv9telugu.com/technology/tecno-launches-new-smart-phone-in-india-tecno-spark-20-features-and-price-details-1171203.html,https://images.tv9telugu.com/wp-content/themes/tv9telugu/images/watermark-new-small.jpg?ar=16:9
22,మార్కెట్‌లో దుమ్మురేపుతున్న స్మార్ట్‌ టీవీలు,https://tv9telugu.com/photo-gallery/technology-photos/smart-tvs-that-are-making-dust-in-the-market-no-worries-on-50-inch-tv-50-inch-smart-tvs-details-in-telugu-1170721.html,https://images.tv9telugu.com/wp-content/themes/tv9telugu/images/watermark-new-small.jpg?ar=16:9
23,చలికాలంలో వెచ్చని నేస్తాలు.. రెండు వేల లోపు రూమ్‌ హీటర్స్‌ ఇవే..!,https://tv9telugu.com/photo-gallery/technology-photos/warm-friends-in-winter-these-are-the-best-room-heaters-under-two-thousand-room-heaters-details-in-telugu-1170715.html,https://images.tv9telugu.com/wp-content/themes/tv9telugu/images/watermark-new-small.jpg?ar=16:9
24,ఫిబ్రవరిలో మార్కెట్‌లో సరికొత్త స్మార్ట్‌ఫోన్ల జాతర..!,https://tv9telugu.com/technology/new-smartphones-in-the-market-in-february-shock-if-you-know-the-details-along-with-the-features-smart-phones-details-in-telugu-1170714.html,https://images.tv9telugu.com/wp-content/themes/tv9telugu/images/watermark-new-small.jpg?ar=16:9
